species	tribe	data_type	signal_type	total_reads_est	observed_at_ighj	expected_at_random_3kb	fold_enrichment	p_value	log10_fold
odocoileus_virginianus	Cervidae	RNA-seq	mapped_reads	400000000	6953000	461.5385	15064.833333333334	0.0	4.177964331308809
cervus_elaphus	Cervini	RNA-seq	mapped_reads	300000000	1627661	264.7059	6148.941555555556	0.0	3.7888003651831514
bos_mutus	Bovini	RNA-seq	mapped_reads	150000000	1031357	160.7143	6417.332444444445	0.0	3.807354538129898
bison_bison	Bovini	RNA-seq	mapped_reads	250000000	469000	277.7778	1688.4	0.0	3.2274753434823706
bison_bonasus	Bovini	RNA-seq	mapped_reads	50000000	327000	51.7241	6322.000000000001	0.0	3.800854491503561
saiga_tatarica	Antilopini	WGS	mapped_reads	832000000	2819	960.0000	2.9364583333333334	0.0	0.46782384283203393
kobus_ellipsiprymnus	Reduncini	WGS	mapped_reads	1620000000	775	1800.0000	0.43055555555555564	1.0	0.0
bos_javanicus	Bovini	WGS	mapped_reads	1400000000	423	1500.0000	0.282	1.0	0.0
connochaetes_taurinus	Alcelaphini	WGS	mapped_reads	900000000	258	1000.0000	0.258	1.0	0.0
oryx_dammah	Hippotragini	WGS	mapped_reads	2600000000	733	3000.0000	0.24433333333333335	1.0	0.0
hippotragus_niger	Hippotragini	WGS	mapped_reads	298666667	43	320.0000	0.134375	1.0	0.0
addax_nasomaculatus	Hippotragini	WGS	mapped_reads	260000000	39	300.0000	0.13	1.0	0.0
elaphurus_davidianus	Cervidae	WGS	mapped_reads	173333333	7	200.0000	0.035	1.0	0.0
